tree_id,longitude,latitude,common,scientific,link,health,notes,memorial
803,-76.489557,42.476306,Norway Spruce,Picea abies,https://en.wikipedia.org/wiki/Picea_abies,3,,
804,-76.489761,42.476471,American Sycamore,Platanus occidentalis,https://en.wikipedia.org/wiki/Platanus_occidentalis,2,Anthracnose,
805,-76.489873,42.476128,Tulip Tree,Liriodendron tulipifera,https://en.wikipedia.org/wiki/Liriodendron_tulipifera,4,,
806,-76.489874,42.476057,American Sycamore,Platanus occidentalis,https://en.wikipedia.org/wiki/Platanus_occidentalis,2,Disease,
807,-76.489874,42.475988,Tulip Tree,Liriodendron tulipifera,https://en.wikipedia.org/wiki/Liriodendron_tulipifera,5,,
808,-76.489874,42.475905,American Sycamore,Platanus occidentalis,https://en.wikipedia.org/wiki/Platanus_occidentalis,1,Disease,
809,-76.489870,42.475827,American Sycamore,Platanus occidentalis,https://en.wikipedia.org/wiki/Platanus_occidentalis,3,,
810,-76.489861,42.475734,American Sycamore,Platanus occidentalis,https://en.wikipedia.org/wiki/Platanus_occidentalis,3,,
811,-76.489851,42.475603,American Sycamore,Platanus occidentalis,https://en.wikipedia.org/wiki/Platanus_occidentalis,2,Disease,
812,-76.489820,42.475376,American Sycamore,Platanus occidentalis,https://en.wikipedia.org/wiki/Platanus_occidentalis,2,Disease,
813,-76.489527,42.475423,Littleleaf Linden,Tilia cordata,https://en.wikipedia.org/wiki/Tilia_cordata,5,,
814,-76.489558,42.475294,White Spruce,Picea glauca,https://en.wikipedia.org/wiki/Picea_glauca,3,,
815,-76.489521,42.475258,White Spruce,Picea glauca,https://en.wikipedia.org/wiki/Picea_glauca,2,,
816,-76.489471,42.475238,Norway Spruce,Picea abies,https://en.wikipedia.org/wiki/Picea_abies,5,,
817,-76.489441,42.475342,Cypress,Cupressus,https://en.wikipedia.org/wiki/Cupressus,5,Sawara,
818,-76.489412,42.475348,Cypress,Cupressus,https://en.wikipedia.org/wiki/Cupressus,5,Sawara,
819,-76.489177,42.475204,Silver Maple,Acer saccharinum,https://en.wikipedia.org/wiki/Acer_saccharinum,4,,
820,-76.489074,42.475458,Rose of Sharon,Hibiscus syriacus,https://en.wikipedia.org/wiki/Hibiscus_syriacus,5,Bush,
821,-76.488905,42.475477,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,4,Siberian,
822,-76.488886,42.475221,Sitka Spruce,Picea sitchensis,https://en.wikipedia.org/wiki/Picea_sitchensis,4,,
823,-76.488805,42.475200,Silver Maple,Acer saccharinum,https://en.wikipedia.org/wiki/Acer_saccharinum,5,,
824,-76.488740,42.475224,Norway Spruce,Picea abies,https://en.wikipedia.org/wiki/Picea_abies,4,,
825,-76.488662,42.475266,American Hazelnut,Corylus americana,https://en.wikipedia.org/wiki/Corylus_americana,5,,
826,-76.488559,42.475335,River Birch,Betula nigra,https://en.wikipedia.org/wiki/Betula_nigra,4,,
827,-76.488529,42.475317,Cornelian Cherry,Cornus mas,https://en.wikipedia.org/wiki/Cornus_mas,4,,
828,-76.488500,42.475276,White Pine,Pinus strobus,https://en.wikipedia.org/wiki/Pinus_strobus,5,,
829,-76.488363,42.475316,White Spruce,Picea glauca,https://en.wikipedia.org/wiki/Picea_glauca,3,,
830,-76.488340,42.475364,Sugar Maple,Acer saccharum,https://en.wikipedia.org/wiki/Acer_saccharum,5,,
831,-76.488270,42.475357,Arborvitae,Thuja,https://en.wikipedia.org/wiki/Thuja,5,,
832,-76.488188,42.475396,Sugar Maple,Acer saccharum,https://en.wikipedia.org/wiki/Acer_saccharum,5,,
833,-76.488120,42.475400,Blue Spruce,Picea pungens,https://en.wikipedia.org/wiki/Blue_spruce,5,,
834,-76.488074,42.475412,Norway Maple,Acer platanoides,https://en.wikipedia.org/wiki/Acer_platanoides,5,,
835,-76.487982,42.475418,Cherry Plum,Prunus,https://en.wikipedia.org/wiki/Prunus,4,,
836,-76.487946,42.475432,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,2,,
837,-76.487853,42.475505,Arborvitae,Thuja,https://en.wikipedia.org/wiki/Thuja,5,,
838,-76.487814,42.475452,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,4,,
839,-76.487680,42.475463,Silver Maple,Acer saccharinum,https://en.wikipedia.org/wiki/Acer_saccharinum,4,,
840,-76.487634,42.475514,White Fir,Abies concolor,https://en.wikipedia.org/wiki/Abies_concolor,5,,
841,-76.487760,42.475500,Bradford Pear,Pyrus calleryana,https://en.wikipedia.org/wiki/Pyrus_calleryana,5,,
842,-76.487819,42.475570,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,4,,
843,-76.487940,42.475643,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,3,Siberian,
844,-76.488052,42.475612,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,2,Siberian,
845,-76.488142,42.475610,Japanese Cherry,Prunus serrulata,https://en.wikipedia.org/wiki/Prunus_serrulata,4,,
846,-76.488348,42.475554,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,3,Siberian,
847,-76.488209,42.475793,Japanese Lilac Tree,Syringa reticulata,https://en.wikipedia.org/wiki/Syringa_reticulata,5,,
848,-76.488097,42.475848,Norway Maple,Acer platanoides,https://en.wikipedia.org/wiki/Acer_platanoides,4,,
849,-76.488190,42.475944,American Sycamore,Platanus occidentalis,https://en.wikipedia.org/wiki/Platanus_occidentalis,4,,
850,-76.488159,42.476003,Eastern White Pine,Pinus strobus,https://en.wikipedia.org/wiki/Pinus_strobus,5,,
851,-76.488103,42.476000,Red Maple,Acer rubrum,https://en.wikipedia.org/wiki/Acer_rubrum,5,,
852,-76.488116,42.476037,Gray Birch,Betula populifolia,https://en.wikipedia.org/wiki/Betula_populifolia,2,,
853,-76.488251,42.476119,Dogwood,Cornus,https://en.wikipedia.org/wiki/Cornus,5,Kousa,
854,-76.488073,42.476126,White Spruce,Picea glauca,https://en.wikipedia.org/wiki/Picea_glauca,5,,
855,-76.487909,42.476167,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,3,Southern,
856,-76.487857,42.476052,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,2,Southern,
857,-76.487836,42.476017,Blue Spruce,Picea pungens,https://en.wikipedia.org/wiki/Blue_spruce,5,,
858,-76.487740,42.475736,Japanese Lilac Tree,Syringa reticulata,https://en.wikipedia.org/wiki/Syringa_reticulata,5,,
859,-76.487706,42.475656,Norway Maple,Acer platanoides,https://en.wikipedia.org/wiki/Acer_platanoides,5,,
860,-76.487586,42.475690,Hawthorn,Crataegus,https://en.wikipedia.org/wiki/Crataegus,4,Black,
861,-76.487388,42.475728,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,4,Siberian,
862,-76.487374,42.475515,Norway Spruce,Picea abies,https://en.wikipedia.org/wiki/Picea_abies,4,,
863,-76.487250,42.475526,Douglas Fir,Pseudotsuga menziesii,https://en.wikipedia.org/wiki/Douglas_fir,3,,
864,-76.487162,42.475548,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,1,Siberian,
865,-76.487148,42.475572,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,3,,
866,-76.487082,42.475584,Japanese Cherry,Prunus serrulata,https://en.wikipedia.org/wiki/Prunus_serrulata,4,,
867,-76.487042,42.475557,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,2,,
868,-76.486960,42.475550,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,4,Sprayed fungicide 2025,
869,-76.486833,42.475592,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,2,,
870,-76.486657,42.475637,Silver Maple,Acer saccharinum,https://en.wikipedia.org/wiki/Acer_saccharinum,5,,
871,-76.486642,42.475820,Cornelian Cherry,Cornus mas,https://en.wikipedia.org/wiki/Cornus_mas,5,,
872,-76.486779,42.475829,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,4,Siberian,
873,-76.486930,42.475806,Japanese Cherry,Prunus serrulata,https://en.wikipedia.org/wiki/Prunus_serrulata,4,,
874,-76.487064,42.475783,Japanese Cherry,Prunus serrulata,https://en.wikipedia.org/wiki/Prunus_serrulata,3,,
875,-76.486814,42.475935,Japanese Red Maple,Acer palmatum,https://en.wikipedia.org/wiki/Acer_palmatum,4,,
876,-76.486853,42.475989,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,5,Southern,
877,-76.486919,42.476076,Ash,Fraxinus,https://en.wikipedia.org/wiki/Fraxinus,2,Green,
878,-76.486992,42.476202,Honey Locust,Gleditsia triacanthos,https://en.wikipedia.org/wiki/Honey_locust,5,,
879,-76.486906,42.476267,Japanese Red Maple,Acer palmatum,https://en.wikipedia.org/wiki/Acer_palmatum,5,,
880,-76.487047,42.476330,River Birch,Betula nigra,https://en.wikipedia.org/wiki/Betula_nigra,5,,
881,-76.487139,42.476185,Honey Locust,Gleditsia triacanthos,https://en.wikipedia.org/wiki/Honey_locust,5,,
882,-76.487262,42.476285,Red Pine,Pinus resinosa,https://en.wikipedia.org/wiki/Pinus_resinosa,5,,
883,-76.487265,42.476320,Burning Bush,Euonymus,https://en.wikipedia.org/wiki/Euonymus,4,,
884,-76.487281,42.476320,Eastern Red Cedar,Juniperus communis,https://en.wikipedia.org/wiki/Juniperus_communisus virginiana,2,,
